775.691	KEY	/
775.891	KEY	l
776.065	KEY	o
776.158	KEY	g
776.860	KEY	RETURN
781.289	Moved	1054	560
781.304	Moved	1067	565
781.322	Moved	1082	574
781.338	Moved	1093	588
781.356	Moved	1099	607
781.371	Moved	1102	620
781.389	Moved	1102	629
781.404	Moved	1091	641
781.422	Moved	1067	653
781.438	Moved	1045	664
781.456	Moved	1023	673
781.472	Moved	1002	680
781.489	Moved	982	687
781.505	Moved	974	689
781.623	Moved	973	688
781.656	Moved	973	686
781.656	Moved	975	684
781.672	Moved	976	683
781.739	Moved	976	682
781.990	Moved	975	682
781.991	Moved	974	682
782.006	Moved	973	682
782.057	Moved	972	682
782.091	Moved	969	683
782.106	Moved	963	684
782.125	Moved	959	686
782.140	Moved	958	686
782.640	KEY	w
783.044	Moved	957	686
783.060	Moved	954	690
783.076	Moved	952	694
783.095	Moved	951	697
783.109	Moved	951	698
783.142	Moved	951	699
783.161	Moved	951	702
783.176	Moved	951	707
783.194	Moved	951	710
783.227	Moved	951	712
783.243	Moved	953	712
783.259	Moved	961	712
783.276	Moved	970	710
783.294	Moved	981	704
783.309	Moved	994	697
783.326	Moved	1013	691
783.343	Moved	1034	688
783.361	Moved	1053	687
783.377	Moved	1067	687
783.393	Moved	1072	687
783.443	Moved	1073	688
783.478	Moved	1074	696
783.478	Moved	1075	706
783.509	Moved	1080	718
783.510	Moved	1086	724
783.528	Moved	1092	724
783.543	Moved	1095	724
783.610	Pressed	Left
783.711	Moved	1094	725
783.727	Moved	1084	727
783.744	Moved	1070	731
783.777	Moved	1055	733
783.777	Moved	1031	736
783.794	Moved	1000	738
783.811	Moved	967	739
783.828	Moved	936	739
783.844	Moved	914	739
783.861	Moved	894	739
783.878	Moved	882	739
783.894	Moved	878	739
783.911	Moved	877	740
783.928	Moved	876	740
783.944	Moved	869	740
783.961	Moved	859	740
783.978	Moved	846	740
783.995	Moved	834	740
784.011	Moved	828	741
784.028	Moved	822	741
784.045	Moved	817	741
784.062	Moved	810	741
784.078	Moved	800	741
784.095	Moved	794	741
784.128	Moved	793	741
784.479	Moved	794	741
784.496	Moved	796	741
784.513	Moved	797	741
784.530	Moved	797	740
784.579	Moved	798	740
784.613	Moved	799	739
784.864	Moved	800	739
784.880	Moved	802	739
784.897	Moved	803	739
784.914	Moved	804	739
784.930	Moved	805	739
784.947	Moved	807	739
784.970	Moved	814	739
784.981	Moved	818	739
784.997	Moved	820	739
785.031	Moved	821	739
785.064	Moved	822	739
785.081	Moved	823	738
785.098	Moved	825	738
785.114	Moved	827	738
785.131	Moved	828	738
785.148	Moved	831	738
785.167	Moved	835	738
785.181	Moved	839	738
785.198	Moved	842	738
785.216	Moved	843	738
785.249	Moved	845	739
785.265	Moved	853	741
785.283	Moved	866	743
785.303	Moved	884	747
785.316	Moved	897	749
785.332	Moved	907	749
785.597	Released	Left
785.684	Moved	904	749
785.702	Moved	894	749
785.717	Moved	879	749
785.733	Moved	852	750
785.751	Moved	818	757
785.766	Moved	779	766
785.784	Moved	736	774
785.801	Moved	691	781
785.817	Moved	647	787
785.833	Moved	604	799
785.851	Moved	565	808
785.867	Moved	535	820
785.885	Moved	514	833
785.901	Moved	496	845
785.918	Moved	479	858
785.933	Moved	458	870
785.951	Moved	437	882
785.967	Moved	417	899
785.985	Moved	401	899
786.002	Moved	391	899
786.018	Moved	385	899
786.034	Moved	385	899
786.067	Moved	388	899
786.085	Moved	400	899
786.100	Moved	427	896
786.119	Moved	451	890
786.134	Moved	467	885
786.152	Moved	476	881
786.167	Moved	479	879
786.219	Moved	481	878
786.234	Moved	485	876
786.253	Moved	489	876
786.267	Moved	499	875
786.286	Moved	509	872
786.301	Moved	517	869
786.320	Moved	522	868
786.336	Moved	525	868
786.352	Moved	531	865
786.368	Moved	542	861
786.385	Moved	546	859
790.379	Moved	551	859
790.395	Moved	566	859
790.412	Moved	572	859
790.429	Moved	575	859
790.447	Moved	579	859
790.479	Moved	581	859
790.562	Moved	582	859
790.582	Moved	583	859
790.612	Moved	584	859
790.663	Moved	585	859
799.855	Moved	590	859
799.871	Moved	623	863
799.889	Moved	666	869
799.904	Moved	721	876
799.922	Moved	798	888
799.937	Moved	872	898
799.956	Moved	936	899
799.971	Moved	984	899
799.987	Moved	1019	898
800.004	Moved	1036	896
800.023	Moved	1043	894
800.038	Moved	1043	893
800.104	Moved	1044	893
800.123	Moved	1050	889
800.138	Moved	1062	885
800.157	Moved	1079	878
800.171	Moved	1098	874
800.189	Moved	1119	868
800.205	Moved	1145	861
800.223	Moved	1180	853
800.238	Moved	1212	847
800.256	Moved	1233	840
800.272	Moved	1244	835
800.290	Moved	1246	834
800.323	Moved	1243	834
800.338	Moved	1233	840
800.355	Moved	1227	843
800.372	Moved	1221	846
800.390	Moved	1218	849
800.405	Moved	1213	852
800.424	Moved	1207	856
